SG_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO,TP_REDE,CO_IES,NO_IES,SG_IES,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_DOUT,QT_DOC_EX_PRETA
CE,Fortaleza,2304400,pública,29,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,1192,1138,785,16
CE,Sobral,2312908,pública,95,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,537,508,233,33
CE,Fortaleza,2304400,privada,555,UNIVERSIDADE DE FORTALEZA,UNIFOR,960,960,461,13
CE,Fortaleza,2304400,pública,583,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,2384,2332,2001,76
CE,Crato,2304202,pública,746,UNIVERSIDADE REGIONAL DO CARIRI,URCA,574,552,257,10
CE,Fortaleza,2304400,privada,1059,Faculdade Multiversa de Fortaleza,,14,14,2,0
CE,Fortaleza,2304400,privada,1107,Centro Universitário Estácio do Ceará,Estácio Ceará,564,564,135,12
CE,Fortaleza,2304400,privada,1191,INSTITUTO DE ENSINO SUPERIOR DE FORTALEZA,IESF,13,12,2,0
CE,Aracati,2301109,privada,1350,Centro Universitário Multiversa do Jaguaribe- UNIJAGUARIBE,UNIJAGUARIBE,92,90,9,3
CE,Fortaleza,2304400,privada,1425,Faculdade Evoluir,FAEV,21,20,5,0
CE,Juazeiro do Norte,2307304,privada,1547,FACULDADE DE MEDICINA ESTÁCIO DE JUAZEIRO DO NORTE,ESTÁCIO FMJ,127,127,48,3
CE,Fortaleza,2304400,privada,1556,CENTRO UNIVERSITÁRIO SETE DE SETEMBRO,UNI7,128,128,43,0
CE,Fortaleza,2304400,privada,1647,FACULDADE DE ENSINO E CULTURA DO CEARÁ,FAECE,70,62,13,0
CE,Fortaleza,2304400,privada,1658,CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA,UNIGRANDE,80,80,12,2
CE,Juazeiro do Norte,2307304,privada,1735,CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO,UNILEÃO,228,228,61,14
CE,Fortaleza,2304400,privada,1772,Centro Universitário Fanor Wyden,UniFanor Wyden,164,164,55,6
CE,Fortaleza,2304400,pública,1807,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,1772,1772,673,51
CE,Fortaleza,2304400,privada,1819,CENTRO UNIVERSITÁRIO FARIAS BRITO,,133,133,31,1
CE,Fortaleza,2304400,privada,1895,CENTRO UNIVERSITÁRIO CHRISTUS,UNICHRISTUS,502,502,297,4
CE,Fortaleza,2304400,privada,1978,Centro Universitário Fametro,Unifametro,135,135,71,4
CE,Icó,2305407,privada,2043,CENTRO UNIVERSITÁRIO VALE DO SALGADO,,163,138,43,6
CE,Sobral,2312908,privada,2111,CENTRO UNIVERSITÁRIO INTA,UNINTA,467,440,164,10
CE,Quixadá,2311306,privada,2135,CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ,UNICATÓLICA,118,118,18,0
CE,Fortaleza,2304400,privada,2180,RATIO - FACULDADE TEOLÓGICA E FILOSÓFICA,RATIO,26,26,2,0
CE,Fortaleza,2304400,privada,2240,FACULDADE DE FORTALEZA,FAFOR,16,13,2,0
CE,Fortaleza,2304400,privada,2410,Centro Universitário Cearense,Unic,63,63,4,1
CE,Tianguá,2313401,privada,2466,FACUDADE IEDUCARE - FIED,FIED,85,81,28,0
CE,Fortaleza,2304400,privada,2485,FACULDADE CATÓLICA DE FORTALEZA,FCF,29,28,13,1
CE,Fortaleza,2304400,privada,2497,CENTRO UNIVERSITÁRIO ATENEU,,276,267,85,8
CE,Juazeiro do Norte,2307304,privada,2593,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE JUAZEIRO DO NORTE,UNINASSAU,135,135,15,2
CE,Juazeiro do Norte,2307304,privada,3388,CENTRO UNIVERSITÁRIO PARAÍSO,,106,91,18,5
CE,Fortaleza,2304400,privada,3680,FACULDADE UNINTA FORTALEZA - Gestão e Negócios,,11,11,4,0
CE,Sobral,2312908,privada,3862,FACULDADE LUCIANO FEIJÃO,FLF,139,136,44,5
CE,Fortaleza,2304400,privada,4037,CENTRO UNIVERSITÁRIO ANHANGUERA DE FORTALEZA,UNIPITÁGORAS,74,74,47,2
CE,Caucaia,2303709,privada,4367,FACULDADE TERRA NORDESTE,FATENE,92,92,22,2
CE,Fortaleza,2304400,privada,4784,FACULDADE CDL,,42,40,5,0
CE,Juazeiro do Norte,2307304,privada,4791,FACULDADE DE TECNOLOGIA CENTEC - CARIRI,CENTEC,19,19,5,0
